Symptom,Solution1,Solution2,Solution3,Solution4,Solution5,Solution6,Solution7
Nothing is displayed when a map is viewed,"Refresh the webpage on the tablet, and navigate to the homepage (192.168.59.99)",Ensure that the map has not been archived,"If possible, hide the information layer using the show/hide tool",On the client portal (https://portal.augustrobotics.com/) ensure that the correct units were chosen when uploading the map (m / mm / inch),,,
An error appears about unreachable marks,"Check for marks outside the marking area - it is possible that there are booths ""outside"" the hall",Check if there are any marks surrounded by an obstacle,"Wait until the job is complete, are there still marks counted as unpainted?",Stop the job and re-start it. Does the MSP continue to display the message?,Contact an AR representitive,,
"The webpage is getting stuck during the ""start job"" process","Refresh the webpage on the tablet, and navigate to the homepage (192.168.59.99)","Reboot the MSP, repeat step 1 and try again","Use a different device, such as a laptop to access the GUI",Pull the map from the client portal again,Contact an AR representitive,,
The reference beacon locations arent showing during calibration,"Refresh the webpage on the tablet, and navigate to the homepage (192.168.59.99)","Check that the webpage is in ""RB"" mode at the bottom.",Check that the map was processed using the correct RB layer on the client portal,Reprocess and pull the map to the MSP,,,
The Lionel / GS home-bases arent showing during calibration,"Refresh the webpage on the tablet, and navigate to the homepage (192.168.59.99)","Check that the webpage is in ""GS / Lionel"" mode at the bottom",Check that the map was processed using the GS/Lionel layers on client portal,Reprocess and pull the map to the MSP,,,
The MSP cant pull maps from Portal (AR), Check that the MSP is connected to the remote access portal, Check that you can ssh into the MSP (using remote access), Check that the MSP token is enabled on the Client Portal, Reboot the MSP, Check the token in the cloud_settings of the MSP,,
The MSP cant pull maps from Portal (Client),Check that the tablet is connected to the MSP Wi-Fi,Check that the MSP is connected to your company Wi-Fi,Reboot the MSP,Try and pull the map from the client portal again,"If possible, plug an ethernet cable into the MSP",Contact an AR representative,
MSP has no internet access, Check that the MSP is connected to the remote access portal,Check that the Wifi is on and connected,Check that you can ssh into the MSP, Reboot the MSP, Plug an ethernet cable into the MSP,,
Equipment doesnt show in job / doesnt connect to MSP,"Check that the router is installed and powered on for each piece of equipment (Lionel, GS etc)",Check that the device is powered on,"If you have multiple MSP, check that the router is correct",Restart the device,Contact an AR representative,,
Remote access isn't working,Test v2ray (R MSPx 000x),Test Tailscale (ssh augbooth@mspx-000x.ts.augustrobotics.com),Test Wireguard (W MSPx 000x),,,,
The MSP webpage wont show up (192.168.59.99),Check that the tablet is connected to the MSP Wi-Fi,Attempt to navigate to 192.168.59.99,"Reboot the MSP and Tablet, and try access the webpage again",Try accessing the MSP GUI remotely,Escalate the problem - may need a re-install of the software,,
The tablet wont connect to Map Server Wifi," Ensure the Tablet wifi is currently ""On""","Ensure that the tablet isn't connected to a different network, if it is, please ""forget"" the network", Reboot the MSP and the Tablet," ""Forget"" the MSP Wi-Fi on the tablet, and re-add it with the password: ""augustbase""",Contact an AR representative,,
Tablet doesnt power on or doesnt work at all,Check that the tablet is charged,"A laptop can be used as a temporary replacement. Please connect to the MSP Wi-Fi using the password: ""augustbase""",Contact an AR representative,,,,
