Symptom,Solution
Nothing is displayed when a map is viewed on the tablet,"Start by refreshing the webpage on your tablet and navigate back to the map. Confirm that the map has not been archived. If the problem persists, access the client portal at https://portal.augustrobotics.com and verify that the map is still active."
An error appears about unreachable marks,"Check for any marks that are outside the marking area, as this could be causing the error. Ensure there are no obstacles around the marks and that they have a clear line of sight to the Guiding Station. If the issue continues, stop the current job and restart it to resolve the error."
"The webpage is getting stuck during the ""start job"" process","Refresh the webpage on your tablet and navigate back to the job start process. If that doesn't work, try power cycling the Map Server. If the problem persists, use a different device, such as a laptop, to attempt the same process."
The Map Server can't pull maps from Portal,"First, check that your tablet is connected to the Map Server. Verify that the Map Server is connected to your network. If necessary, reboot the Map Server to reset the connection. Additionally, if possible, connect the Map Server to the network via an ethernet cable to ensure a stable connection."
Map Server has no internet access,"Confirm that the map server is not connected to a Wifi which need authentication. If WiFi is unavailable, try connecting an ethernet cable to the Map Server to establish a wired connection."
Equipment doesn't show in job / doesn't connect to Map Server,"Start by checking that the router is installed and powered on for each piece of equipment, including Lionel and the Guiding Station. Ensure that the device itself is powered on and functioning correctly. If you have multiple Map Servers, verify that the router being used is the correct one. If the issue persists, try power cycling the device to re-establish the connection."
The Map Server webpage won't show up (192.168.59.99),"First, ensure that the tablet is connected to the Map Server's Wi-Fi network. If the connection appears to be fine but the webpage still won't load, try rebooting both the Map Server and the tablet. After the reboot, attempt to access the webpage again."
The tablet can't connect to Map Server Wifi,"Verify that the tablet is within the WiFi range of the Map Server and that the WiFi is turned on. Make sure the Map Server is powered on and functioning correctly. If the connection still fails, restart both the tablet and the Map Server to refresh the connection."
Tablet doesn't power on or doesn't work at all,"If the tablet doesn't power on or work at all, first check that it is fully charged by connecting it to a power source, and if it still doesn't function, use a laptop as a temporary replacement by connecting it to the Map Server Wi-Fi network using the password 'augustbase'."
There are breaks in the marks / air in the pipe / poor mark quality overall,"Check the pipe from the bottle to the robot to ensure it isn't pinched and is correctly connected with an audible click when attaching the bottle; inspect the rest of the paint pipes for pinches, bends, or leaks; and clean or replace the nozzle if it is partially blocked, while also checking if the O-ring at the bottle connection is damaged."
Lionel won't mark a certain area of a job map,"Ensure that none of the marks in that zone are 'disabled,' refresh the webpage to confirm the marks haven't already been painted, and check that a 'temporary obstacle' wasn't created around these marks."
The Lionel is in a constant error / initialization state,"Ensure that the emergency stop button is released, check the notification bell on the webpage for any reported errors, and if the issue persists, perform a power cycle on Lionel and contact an AR representative."
